expt_name,network_name,infection_peak,model,detection_ratio
Peak_60,SBM-5k-Med,35,Beta_Binomial_14,0.4135232959459041
Peak_60,SBM-5k-Med,35,Proportional,0.3767873308882963
Peak_60,SBM-5k-Med,36,Uniform,0.3819813035697772
Peak_60,SBM-5k-Med,36,Random,0.36816972732793185
Peak_80,SBM-1k,0,LocalGNTS_14,0.12837037037037036
Peak_80,SBM-1k,0,GlobalGNTS_14,0.18288888888888888
Peak_80,SBM-1k,0,Beta_Binomial_14,0.23666666666666666
Peak_80,SBM-1k,0,Proportional,0.37477777777777777
Peak_80,SBM-1k,0,Uniform,0.24918278018278017
Peak_80,SBM-1k,0,Random,0.39277056277056277
Peak_80,SBM-2k,19,LocalGNTS_14,0.5463925308310572
Peak_80,SBM-2k,19,GlobalGNTS_14,0.4105089655092997
Peak_80,SBM-2k,19,Beta_Binomial_14,0.41233761431299193
Peak_80,SBM-2k,17,Proportional,0.4484440016517819
Peak_80,SBM-2k,15,Uniform,0.48859768309081764
Peak_80,SBM-2k,19,Random,0.42395174607531405
Peak_80,SBM-3k,39,LocalGNTS_14,0.43949322478366704
Peak_80,SBM-3k,44,GlobalGNTS_14,0.4163537633934158
Peak_80,SBM-3k,55,Beta_Binomial_14,0.4060652412278815
Peak_80,SBM-3k,49,Proportional,0.42631529530958756
Peak_80,SBM-3k,49,Uniform,0.44948702010898006
Peak_80,SBM-3k,55,Random,0.39124867038776423
Peak_80,SBM-4k,19,LocalGNTS_14,0.4009444736448164
Peak_80,SBM-4k,63,GlobalGNTS_14,0.40601333422273284
Peak_80,SBM-4k,59,Beta_Binomial_14,0.33388152986383257
Peak_80,SBM-4k,71,Proportional,0.37249518298860423
Peak_80,SBM-4k,58,Uniform,0.34720811555749803
Peak_80,SBM-4k,55,Random,0.29213713392367147
Peak_80,SBM-5k-Med,39,LocalGNTS_14,0.46862693902554325
Peak_80,SBM-5k-Med,39,GlobalGNTS_14,0.4456455492374285
Peak_80,SBM-5k-Med,44,Beta_Binomial_14,0.3709491882487853
Peak_80,SBM-5k-Med,44,Proportional,0.3826019643487723
Peak_80,SBM-5k-Med,44,Uniform,0.35831378828267857
Peak_80,SBM-5k-Med,45,Random,0.3786555373176034
Peak_100,SBM-1k,0,LocalGNTS_14,0.17302380952380952
Peak_100,SBM-1k,0,GlobalGNTS_14,0.0816868686868687
Peak_100,SBM-1k,0,Beta_Binomial_14,0.27205026455026454
Peak_100,SBM-1k,0,Proportional,0.22
Peak_100,SBM-1k,0,Uniform,0.08233333333333333
Peak_100,SBM-1k,0,Random,0.17531746031746032
Peak_100,SBM-2k,0,LocalGNTS_14,0.4067894606603749
Peak_100,SBM-2k,17,GlobalGNTS_14,0.4380538886500714
Peak_100,SBM-2k,14,Beta_Binomial_14,0.48786373068453825
Peak_100,SBM-2k,18,Proportional,0.48104859182477755
Peak_100,SBM-2k,19,Uniform,0.430352381892342
Peak_100,SBM-2k,15,Random,0.4760073880722567
Peak_100,SBM-3k,61,LocalGNTS_14,0.41024404179834983
Peak_100,SBM-3k,75,GlobalGNTS_14,0.39251716152056315
Peak_100,SBM-3k,59,Beta_Binomial_14,0.44313821033093104
Peak_100,SBM-3k,50,Proportional,0.38447259700462955
Peak_100,SBM-3k,43,Uniform,0.4234141521566846
Peak_100,SBM-3k,51,Random,0.4362641668548638
Peak_100,SBM-4k,105,LocalGNTS_14,0.3867479330849771
Peak_100,SBM-4k,89,GlobalGNTS_14,0.391704766730111
Peak_100,SBM-4k,80,Beta_Binomial_14,0.3211527398674599
Peak_100,SBM-4k,93,Proportional,0.3650713764113276
Peak_100,SBM-4k,59,Uniform,0.3192216773014231
Peak_100,SBM-4k,82,Random,0.3010121345476488
Peak_100,SBM-5k-Med,74,LocalGNTS_14,0.4092397694171465
Peak_100,SBM-5k-Med,39,GlobalGNTS_14,0.4453442764828492
Peak_100,SBM-5k-Med,60,Beta_Binomial_14,0.36518807004513154
Peak_100,SBM-5k-Med,47,Proportional,0.3614827824532236
Peak_100,SBM-5k-Med,50,Uniform,0.3787843781913609
Peak_100,SBM-5k-Med,53,Random,0.3233379838763894
