Day,Run,Efficiency
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.01256281407035176
21,0,0.022962112514351322
22,0,0.029227557411273485
23,0,0.03491755577109602
24,0,0.03905540417801998
25,0,0.04477611940298507
26,0,0.050774526678141134
27,0,0.056082830025884385
28,0,0.058823529411764705
29,0,0.06302521008403361
30,0,0.06700167504187604
31,0,0.0682800345721694
32,0,0.07243816254416961
33,0,0.08340888485947416
34,0,0.08488805970149253
35,0,0.09381044487427466
36,0,0.10121457489878542
37,0,0.11204188481675392
38,0,0.11648351648351649
39,0,0.12557603686635946
40,0,0.15162454873646208
41,0,0.17729591836734693
42,0,0.2109479305740988
43,0,0.2401685393258427
44,0,0.2814814814814815
45,0,0.31937984496124033
46,0,0.36006546644844517
47,0,0.3938356164383562
48,0,0.43037974683544306
49,0,0.4731800766283525
50,0,0.494949494949495
51,0,0.523109243697479
52,0,0.5525727069351231
53,0,0.5758293838862559
54,0,0.5969387755102041
55,0,0.6153846153846154
56,0,0.6198830409356725
57,0,0.6292834890965732
58,0,0.6423841059602649
59,0,0.6398601398601399
60,0,0.6642066420664207
61,0,0.6937984496124031
62,0,0.7044534412955465
63,0,0.7088607594936709
64,0,0.7130434782608696
65,0,0.719626168224299
66,0,0.7241379310344828
67,0,0.7193877551020408
68,0,0.7195767195767195
69,0,0.7314285714285714
70,0,0.7435897435897436
71,0,0.7372262773722628
72,0,0.7404580152671756
73,0,0.7580645161290323
74,0,0.7711864406779662
75,0,0.7767857142857143
76,0,0.794392523364486
77,0,0.8333333333333334
78,0,0.845360824742268
79,0,0.8229166666666666
80,0,0.7934782608695652
81,0,0.7738095238095238
82,0,0.7848101265822784
83,0,0.8108108108108109
84,0,0.8169014084507042
85,0,0.8059701492537313
86,0,0.7936507936507936
87,0,0.7666666666666667
88,0,0.7931034482758621
89,0,0.7966101694915254
90,0,0.7666666666666667
91,0,0.8245614035087719
92,0,0.8275862068965517
93,0,0.8214285714285714
94,0,0.8113207547169812
95,0,0.8571428571428571
96,0,0.9090909090909091
97,0,0.9069767441860465
98,0,0.9
99,0,0.8611111111111112
100,0,0.8055555555555556
101,0,0.8181818181818182
102,0,0.9090909090909091
103,0,0.9
104,0,0.88
105,0,0.8846153846153846
106,0,0.875
107,0,0.8571428571428571
108,0,0.8571428571428571
109,0,0.8571428571428571
110,0,0.8421052631578947
111,0,0.8125
112,0,0.8
113,0,0.7857142857142857
114,0,0.7857142857142857
115,0,0.7857142857142857
116,0,0.7857142857142857
117,0,0.8461538461538461
118,0,0.9
119,0,0.875
120,0,0.875
121,0,0.8571428571428571
122,0,0.8571428571428571
123,0,0.8571428571428571
124,0,0.8333333333333334
125,0,0.8333333333333334
126,0,0.8
127,0,0.8
128,0,0.8
129,0,0.8
130,0,0.6
131,0,0.6
132,0,0.6666666666666666
133,0,0.5
134,0,0.5
135,0,0.5
136,0,0.5
137,0,0.5
138,0,0.5
139,0,0.5
140,0,0.5
141,0,0.5
142,0,0.5
143,0,0.0
144,0,0.0
145,0,0.0
146,0,0.0
147,0,0.0
148,0,0.0
149,0,0.3333333333333333
0,1,0.0
1,1,0.0
2,1,0.0
3,1,0.0
4,1,0.0
5,1,0.0
6,1,0.0
7,1,0.0
8,1,0.0
9,1,0.0
10,1,0.0
11,1,0.0
12,1,0.0
13,1,0.0
14,1,0.0
15,1,0.0
16,1,0.0
17,1,0.0
18,1,0.0
19,1,0.0
20,1,0.01669449081803005
