Day,Run,Efficiency
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0025106703489831783
21,0,0.004735792622133599
22,0,0.006830255502150265
23,0,0.008874967371443488
24,0,0.009761388286334056
25,0,0.012798634812286689
26,0,0.016486810551558755
27,0,0.018975332068311195
28,0,0.020601148260722728
29,0,0.024563901744393022
30,0,0.027484939759036143
31,0,0.032025620496397116
32,0,0.03721129170230967
33,0,0.04145785876993166
34,0,0.0465341735336888
35,0,0.05186721991701245
36,0,0.056768558951965066
37,0,0.061849710982658956
38,0,0.06654567453115548
39,0,0.07357645553422905
40,0,0.0861952861952862
41,0,0.10312944523470839
42,0,0.11901197604790419
43,0,0.13532651455546812
44,0,0.14713216957605985
45,0,0.16593115622241836
46,0,0.1824074074074074
47,0,0.20194174757281552
48,0,0.2249488752556237
49,0,0.24060150375939848
50,0,0.2582106455266138
51,0,0.28150765606595995
52,0,0.2928660826032541
53,0,0.3204272363150868
54,0,0.3379694019471488
55,0,0.35600578871201155
56,0,0.3716012084592145
57,0,0.39325842696629215
58,0,0.4083333333333333
59,0,0.4223385689354276
60,0,0.46494464944649444
61,0,0.4838095238095238
62,0,0.49292929292929294
63,0,0.5
64,0,0.512249443207127
65,0,0.5381062355658198
66,0,0.5555555555555556
67,0,0.5655339805825242
68,0,0.5778894472361809
69,0,0.5844155844155844
70,0,0.5950413223140496
71,0,0.5942857142857143
72,0,0.5942028985507246
73,0,0.5880597014925373
74,0,0.5800604229607251
75,0,0.5828220858895705
76,0,0.5750798722044729
77,0,0.577922077922078
78,0,0.5766666666666667
79,0,0.5865724381625441
80,0,0.6022304832713755
81,0,0.5930232558139535
82,0,0.6196078431372549
83,0,0.6434426229508197
84,0,0.6266094420600858
85,0,0.6098654708520179
86,0,0.6053811659192825
87,0,0.6221198156682027
88,0,0.6634615384615384
89,0,0.6747572815533981
90,0,0.6633663366336634
91,0,0.634020618556701
92,0,0.6020942408376964
93,0,0.5911602209944752
94,0,0.5919540229885057
95,0,0.632768361581921
96,0,0.6287425149700598
97,0,0.6325301204819277
98,0,0.6381578947368421
99,0,0.6225165562913907
100,0,0.6258503401360545
101,0,0.6086956521739131
102,0,0.5895522388059702
103,0,0.6240601503759399
104,0,0.5725190839694656
105,0,0.5564516129032258
106,0,0.5813953488372093
107,0,0.5725806451612904
108,0,0.5537190082644629
109,0,0.5603448275862069
110,0,0.5431034482758621
111,0,0.5258620689655172
112,0,0.5304347826086957
113,0,0.5363636363636364
114,0,0.5565217391304348
115,0,0.5892857142857143
116,0,0.5210084033613446
117,0,0.5130434782608696
118,0,0.5042735042735043
119,0,0.472
120,0,0.5275590551181102
121,0,0.5447154471544715
122,0,0.5655737704918032
123,0,0.5166666666666667
124,0,0.5299145299145299
125,0,0.5546218487394958
126,0,0.592
127,0,0.6190476190476191
128,0,0.6083333333333333
129,0,0.6016949152542372
130,0,0.6
131,0,0.6260869565217392
132,0,0.6120689655172413
133,0,0.6283185840707964
134,0,0.6181818181818182
135,0,0.6132075471698113
136,0,0.6111111111111112
137,0,0.6822429906542056
138,0,0.6862745098039216
139,0,0.6699029126213593
140,0,0.6804123711340206
141,0,0.6372549019607843
142,0,0.6701030927835051
143,0,0.6043956043956044
144,0,0.6195652173913043
145,0,0.6153846153846154
146,0,0.5930232558139535
147,0,0.5795454545454546
148,0,0.5730337078651685
149,0,0.5777777777777777
0,1,0.0
1,1,0.0
2,1,0.0
3,1,0.0
4,1,0.0
5,1,0.0
