Day,Run,Efficiency
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0129366106080207
21,0,0.02237926972909305
22,0,0.030335861321776816
23,0,0.03406813627254509
24,0,0.04003813155386082
25,0,0.04533091568449683
26,0,0.05235137533274179
27,0,0.05454545454545454
28,0,0.05887372013651877
29,0,0.06351931330472103
30,0,0.06484641638225255
31,0,0.07291666666666667
32,0,0.0796847635726795
33,0,0.08792184724689166
34,0,0.09554140127388536
35,0,0.10650329877474081
36,0,0.11143410852713179
37,0,0.12044534412955465
38,0,0.1325556733828208
39,0,0.14174972314507198
40,0,0.17093023255813952
41,0,0.1980440097799511
42,0,0.22908622908622908
43,0,0.252361673414305
44,0,0.28714285714285714
45,0,0.3251908396946565
46,0,0.3607085346215781
47,0,0.39622641509433965
48,0,0.43040293040293043
49,0,0.46705426356589147
50,0,0.49795918367346936
51,0,0.5318681318681319
52,0,0.580046403712297
53,0,0.6386138613861386
54,0,0.671957671957672
55,0,0.6873239436619718
56,0,0.6946107784431138
57,0,0.717948717948718
58,0,0.7649122807017544
59,0,0.7604562737642585
60,0,0.8223140495867769
61,0,0.8370044052863436
62,0,0.8333333333333334
63,0,0.8449197860962567
64,0,0.8488372093023255
65,0,0.8493975903614458
66,0,0.8717948717948718
67,0,0.8940397350993378
68,0,0.8881118881118881
69,0,0.8837209302325582
70,0,0.8780487804878049
71,0,0.875
72,0,0.8725490196078431
73,0,0.8877551020408163
74,0,0.875
75,0,0.872093023255814
76,0,0.8765432098765432
77,0,0.8734177215189873
78,0,0.8513513513513513
79,0,0.835820895522388
80,0,0.8181818181818182
81,0,0.8461538461538461
82,0,0.8333333333333334
83,0,0.8545454545454545
84,0,0.8541666666666666
85,0,0.8478260869565217
86,0,0.8095238095238095
87,0,0.7692307692307693
88,0,0.7692307692307693
89,0,0.8
90,0,0.84375
91,0,0.8181818181818182
92,0,0.8571428571428571
93,0,0.8333333333333334
94,0,0.8333333333333334
95,0,0.8695652173913043
96,0,0.8636363636363636
97,0,0.8260869565217391
98,0,0.8571428571428571
99,0,0.8571428571428571
100,0,0.9
101,0,1.0
102,0,1.0
103,0,1.0
104,0,1.0
105,0,1.0
106,0,1.0
107,0,1.0
108,0,1.0
109,0,1.0
110,0,1.0
111,0,1.0
112,0,1.0
113,0,1.0
114,0,1.0
115,0,1.0
116,0,1.0
117,0,1.0
118,0,1.0
119,0,1.0
120,0,1.0
121,0,1.0
122,0,1.0
123,0,1.0
124,0,1.0
125,0,1.0
126,0,1.0
127,0,1.0
128,0,1.0
129,0,1.0
130,0,1.0
131,0,1.0
132,0,1.0
133,0,1.0
134,0,1.0
135,0,1.0
136,0,1.0
137,0,1.0
138,0,1.0
139,0,1.0
140,0,1.0
141,0,1.0
142,0,1.0
143,0,1.0
144,0,1.0
145,0,1.0
146,0,1.0
147,0,1.0
148,0,1.0
149,0,1.0
0,1,0.0
1,1,0.0
2,1,0.0
3,1,0.0
4,1,0.0
5,1,0.0
6,1,0.0
7,1,0.0
8,1,0.0
9,1,0.0
10,1,0.0
11,1,0.0
12,1,0.0
13,1,0.0
14,1,0.0
15,1,0.0
16,1,0.0
17,1,0.0
18,1,0.0
19,1,0.0
20,1,0.01834862385321101
21,1,0.03194888178913738
22,1,0.039603960396039604
23,1,0.045859872611464965
24,1,0.04838709677419355
25,1,0.051094890510948905
26,1,0.055286129970902036
27,1,0.058287795992714025
28,1,0.061457418788410885
29,1,0.06292517006802721
