Day,Strategy,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,LocalGNTS-14,1983.6,6.4,9.2,0,0,0.8,0.0
1,LocalGNTS-14,1980.2,8.0,10.2,0.4,0,1.2,0.0
2,LocalGNTS-14,1972.4,14.8,9.6,0.8,0,2.4,0.0
3,LocalGNTS-14,1967.4,16.4,10.2,2.8,0,3.2,0.0
4,LocalGNTS-14,1961.0,20.4,10.6,3.8,0,4.2,0.0
5,LocalGNTS-14,1953.4,25.0,12.6,4.6,0,4.4,0.0
6,LocalGNTS-14,1942.4,31.0,14.2,7.2,0,5.2,0.0
7,LocalGNTS-14,1929.6,38.2,15.4,9.4,0,7.4,0.0
8,LocalGNTS-14,1917.6,42.6,18.8,11.6,0,9.4,0.0
9,LocalGNTS-14,1900.4,51.2,22.4,15.0,0,11.0,0.0
10,LocalGNTS-14,1876.6,64.0,28.0,18.2,0,13.2,0.0
11,LocalGNTS-14,1847.8,77.4,34.8,23.8,0,16.2,0.0
12,LocalGNTS-14,1817.8,90.0,42.2,29.6,0,20.4,0.0
13,LocalGNTS-14,1774.2,115.2,51.0,32.8,0,26.8,0.0
14,LocalGNTS-14,1730.4,135.0,61.4,39.6,0,33.6,0.0
15,LocalGNTS-14,1678.8,158.4,75.2,47.4,0,40.2,0.0
16,LocalGNTS-14,1620.6,181.6,91.0,58.4,0,48.4,0.0
17,LocalGNTS-14,1552.0,209.4,110.6,70.2,0,57.8,0.0
18,LocalGNTS-14,1470.8,249.8,125.4,82.4,0,71.6,0.0
19,LocalGNTS-14,1386.2,286.6,146.6,95.6,0,85.0,0.0
20,LocalGNTS-14,1300.0,313.0,149.4,113.2,21.6,102.8,0.0361687876758205
21,LocalGNTS-14,1223.8,326.8,137.2,132.8,56.8,122.6,0.08690330477356181
22,LocalGNTS-14,1141.2,342.6,137.8,149.4,85.6,143.4,0.11965334078837012
23,LocalGNTS-14,1063.6,355.2,138.2,160.0,112.6,170.4,0.14699738903394255
24,LocalGNTS-14,985.0,364.4,144.0,170.8,134.8,201.0,0.1656019656019656
25,LocalGNTS-14,909.8,370.6,148.4,183.2,154.8,233.2,0.18063010501750293
26,LocalGNTS-14,841.2,365.8,156.2,193.8,172.8,270.2,0.1944632005401756
27,LocalGNTS-14,770.8,365.0,159.6,207.0,193.6,304.0,0.20925205361003024
28,LocalGNTS-14,704.0,352.0,165.4,224.4,211.8,342.4,0.2221057046979866
29,LocalGNTS-14,639.6,343.2,171.8,234.0,226.6,384.8,0.23226732267322672
30,LocalGNTS-14,575.4,334.0,178.6,240.2,241.4,430.4,0.24280828807081073
31,LocalGNTS-14,521.4,310.6,184.6,254.6,257.2,471.6,0.2554121151936445
32,LocalGNTS-14,473.2,291.0,184.8,256.8,271.8,522.4,0.27060931899641577
33,LocalGNTS-14,430.0,272.0,179.8,264.0,287.6,566.6,0.2866254733904724
34,LocalGNTS-14,391.0,257.4,173.2,262.6,296.6,619.2,0.2996564962618711
35,LocalGNTS-14,357.2,238.4,172.0,255.6,308.8,668.0,0.3167829298317604
36,LocalGNTS-14,329.2,224.2,159.4,256.4,320.2,710.6,0.33347219329306393
37,LocalGNTS-14,299.8,208.8,155.6,247.6,322.8,765.4,0.34531450577663675
38,LocalGNTS-14,274.8,190.2,150.4,244.2,331.0,809.4,0.3614326272111815
39,LocalGNTS-14,251.8,179.6,141.4,234.4,336.2,856.6,0.3770749214894572
40,LocalGNTS-14,238.6,150.8,119.4,215.4,378.0,897.8,0.43770264011116256
41,LocalGNTS-14,227.6,130.8,95.6,201.6,401.4,943.0,0.48396431155051844
42,LocalGNTS-14,216.2,114.8,73.6,190.0,413.4,992.0,0.5221015407931295
43,LocalGNTS-14,208.2,99.8,53.8,179.8,419.8,1038.6,0.5573552841210834
44,LocalGNTS-14,199.8,84.8,41.0,173.8,425.2,1075.4,0.5866445916114791
45,LocalGNTS-14,193.6,76.4,23.2,162.8,428.8,1115.2,0.6203703703703703
46,LocalGNTS-14,191.0,66.0,15.4,149.2,430.0,1148.4,0.6509234029669997
47,LocalGNTS-14,191.0,54.0,7.4,138.8,422.2,1186.6,0.6783419023136247
48,LocalGNTS-14,194.4,46.0,5.4,122.6,415.6,1216.0,0.7048846675712348
49,LocalGNTS-14,194.4,40.2,4.8,108.2,399.6,1252.8,0.7228654124457309
50,LocalGNTS-14,195.2,34.2,4.0,98.6,385.2,1282.8,0.7379310344827587
51,LocalGNTS-14,196.8,30.6,4.6,87.4,368.4,1312.2,0.75030549898167
52,LocalGNTS-14,200.6,26.4,3.4,80.6,351.2,1337.8,0.7608318890814558
53,LocalGNTS-14,205.6,22.4,3.0,74.0,335.6,1359.4,0.7714942528735633
54,LocalGNTS-14,210.8,21.2,2.0,68.2,318.8,1379.0,0.7771818625060946
55,LocalGNTS-14,214.0,18.0,3.2,65.2,298.4,1401.2,0.7754677754677755
56,LocalGNTS-14,218.8,17.2,2.0,61.6,279.6,1420.8,0.7758046614872364
57,LocalGNTS-14,222.6,18.6,1.4,57.8,263.4,1436.2,0.7719812426729191
58,LocalGNTS-14,228.0,17.0,2.2,54.0,246.8,1452.0,0.77125
59,LocalGNTS-14,232.4,16.6,2.6,49.6,233.0,1465.8,0.7720344599072233
60,LocalGNTS-14,238.0,13.8,2.2,45.6,218.4,1482.0,0.78
61,LocalGNTS-14,245.8,10.6,2.2,44.0,206.0,1491.4,0.7838660578386606
62,LocalGNTS-14,251.6,12.0,0.8,41.8,197.0,1496.8,0.7829888712241654
63,LocalGNTS-14,256.4,11.2,1.4,38.8,184.4,1507.8,0.7820186598812553
64,LocalGNTS-14,262.8,10.6,1.0,36.0,173.4,1516.2,0.7846153846153846
65,LocalGNTS-14,269.8,9.4,1.2,33.6,161.4,1524.6,0.7850194552529183
66,LocalGNTS-14,274.4,10.2,0.6,30.0,153.2,1531.6,0.7896907216494845
67,LocalGNTS-14,280.6,10.6,0.6,29.2,141.2,1537.8,0.777533039647577
68,LocalGNTS-14,286.8,10.4,0.8,28.2,134.6,1539.2,0.7735632183908046
69,LocalGNTS-14,292.4,10.2,0.8,26.2,124.2,1546.2,0.7695167286245354
70,LocalGNTS-14,299.2,9.4,1.8,25.6,116.6,1547.4,0.7601043024771837
71,LocalGNTS-14,307.2,8.0,2.0,23.2,111.6,1548.0,0.7707182320441988
72,LocalGNTS-14,316.2,8.4,0.8,21.8,107.0,1545.8,0.7753623188405797
73,LocalGNTS-14,321.4,7.8,1.2,19.6,101.0,1549.0,0.779320987654321
74,LocalGNTS-14,326.8,8.2,0.8,19.2,92.8,1552.2,0.7669421487603305
75,LocalGNTS-14,336.6,6.8,1.4,18.4,84.0,1552.8,0.759493670886076
76,LocalGNTS-14,343.6,5.4,1.2,17.0,78.4,1554.4,0.7686274509803922
77,LocalGNTS-14,350.2,6.2,0.4,14.4,74.6,1554.2,0.7803347280334728
78,LocalGNTS-14,358.2,7.2,1.0,13.8,69.6,1550.2,0.759825327510917
79,LocalGNTS-14,367.8,6.2,0.6,13.6,65.6,1546.2,0.7627906976744185
80,LocalGNTS-14,374.4,6.2,0.6,12.8,60.8,1545.2,0.7562189054726367
81,LocalGNTS-14,380.0,5.4,0.4,12.2,57.6,1544.4,0.761904761904762
82,LocalGNTS-14,385.4,5.4,1.0,11.6,54.0,1542.6,0.75
83,LocalGNTS-14,393.4,4.0,0.8,11.4,51.4,1539.0,0.7603550295857988
84,LocalGNTS-14,400.8,3.8,0.4,10.0,48.4,1536.6,0.7731629392971247
85,LocalGNTS-14,406.6,3.6,0.2,10.0,46.0,1533.6,0.7692307692307693
86,LocalGNTS-14,414.6,3.8,0.2,9.0,42.8,1529.6,0.7670250896057348
87,LocalGNTS-14,422.2,4.4,0,8.4,39.6,1525.4,0.7557251908396946
88,LocalGNTS-14,430.4,4.2,0.2,8.8,36.0,1520.4,0.7317073170731707
89,LocalGNTS-14,436.6,3.6,0.6,9.0,34.2,1516.0,0.7215189873417721
