Day,Strategy,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,LocalGNTS-14,2973.0,17.0,8.4,0,0,1.6,0.0
1,LocalGNTS-14,2958.6,27.8,9.8,2.0,0,1.8,0.0
2,LocalGNTS-14,2940.4,39.8,12.2,4.2,0,3.4,0.0
3,LocalGNTS-14,2916.6,55.0,16.4,8.2,0,3.8,0.0
4,LocalGNTS-14,2874.0,88.6,21.2,10.0,0,6.2,0.0
5,LocalGNTS-14,2825.0,118.8,30.6,17.6,0,8.0,0.0
6,LocalGNTS-14,2751.0,172.6,39.8,25.8,0,10.8,0.0
7,LocalGNTS-14,2656.6,233.6,57.2,36.2,0,16.4,0.0
8,LocalGNTS-14,2528.8,312.4,80.8,56.4,0,21.6,0.0
9,LocalGNTS-14,2357.8,419.8,117.4,72.8,0,32.2,0.0
10,LocalGNTS-14,2130.8,565.8,157.6,95.4,0,50.4,0.0
11,LocalGNTS-14,1894.2,685.0,217.2,136.2,0,67.4,0.0
12,LocalGNTS-14,1597.8,831.8,287.8,190.8,0,91.8,0.0
13,LocalGNTS-14,1266.0,1002.4,367.2,240.8,0,123.6,0.0
14,LocalGNTS-14,957.8,1113.0,464.4,299.8,0,165.0,0.0
15,LocalGNTS-14,677.0,1165.2,569.8,373.0,0,215.0,0.0
16,LocalGNTS-14,445.6,1169.4,665.4,436.8,0,282.8,0.0
17,LocalGNTS-14,269.4,1109.8,758.8,503.8,0,358.2,0.0
18,LocalGNTS-14,156.0,1005.2,834.4,558.0,0,446.4,0.0
19,LocalGNTS-14,76.2,883.8,898.2,599.6,0,542.2,0.0
20,LocalGNTS-14,36.8,744.0,935.0,634.2,8.6,641.4,0.0037040227409768285
21,LocalGNTS-14,18.6,623.0,940.6,651.0,22.0,744.8,0.009836358758830368
22,LocalGNTS-14,9.6,516.0,931.0,647.0,34.2,862.2,0.016069918240766846
23,LocalGNTS-14,5.0,422.4,919.8,639.4,47.4,966.0,0.023361261705273532
24,LocalGNTS-14,4.6,342.4,887.0,630.8,62.2,1073.0,0.03235538909696213
25,LocalGNTS-14,7.4,290.6,841.8,608.8,75.6,1175.8,0.0416116248348745
26,LocalGNTS-14,5.4,242.8,796.4,584.2,87.8,1283.4,0.05130902290790088
27,LocalGNTS-14,7.2,193.6,759.4,566.4,98.0,1375.4,0.06059107209101026
28,LocalGNTS-14,6.4,161.0,710.2,541.4,108.0,1473.0,0.07102459555438644
29,LocalGNTS-14,9.4,133.4,663.6,519.0,117.4,1557.2,0.08190316729454444
30,LocalGNTS-14,10.4,115.4,615.2,490.8,125.2,1643.0,0.09297489974751225
31,LocalGNTS-14,10.8,103.4,561.4,469.4,132.4,1722.6,0.10453181746407707
32,LocalGNTS-14,10.2,89.4,514.4,447.4,139.0,1799.6,0.1167870946059486
33,LocalGNTS-14,10.2,80.4,468.8,420.6,144.4,1875.6,0.1295997127984204
34,LocalGNTS-14,12.6,71.2,430.6,397.6,151.0,1937.0,0.14375476009139374
35,LocalGNTS-14,15.4,64.6,391.6,378.0,155.2,1995.2,0.15686274509803919
36,LocalGNTS-14,16.8,63.6,353.4,359.6,159.6,2047.0,0.1704763939329203
37,LocalGNTS-14,19.6,59.0,318.0,338.6,166.8,2098.0,0.18902991840435177
38,LocalGNTS-14,23.8,58.6,283.8,320.6,169.6,2143.6,0.20369925534470332
39,LocalGNTS-14,27.0,55.6,254.0,307.2,172.6,2183.6,0.21864707372688116
40,LocalGNTS-14,30.2,54.0,197.2,288.8,201.8,2228.0,0.2720409813966029
41,LocalGNTS-14,32.0,53.4,145.6,275.0,229.8,2264.2,0.3265132139812447
42,LocalGNTS-14,35.2,51.8,96.6,256.0,259.2,2301.2,0.3905967450271248
43,LocalGNTS-14,39.4,46.2,51.4,242.6,286.0,2334.4,0.4567230916640051
44,LocalGNTS-14,42.0,40.8,19.8,224.0,311.6,2361.8,0.5226434082522643
45,LocalGNTS-14,50.4,36.0,3.4,193.6,329.2,2387.4,0.5855567413731767
46,LocalGNTS-14,57.2,30.0,5.2,156.4,338.8,2412.4,0.638763197586727
47,LocalGNTS-14,66.0,26.0,2.2,129.6,342.6,2433.6,0.6846522781774581
48,LocalGNTS-14,78.0,23.8,2.2,106.0,336.4,2453.6,0.7181895815542272
49,LocalGNTS-14,89.0,23.0,1.4,90.0,332.4,2464.2,0.7439570277529096
50,LocalGNTS-14,102.4,18.2,2.2,81.0,320.6,2475.6,0.7597156398104266
51,LocalGNTS-14,110.8,19.0,1.4,77.4,303.8,2487.6,0.7564741035856574
52,LocalGNTS-14,122.6,18.0,2.4,73.4,285.4,2498.2,0.7526371308016877
53,LocalGNTS-14,133.2,16.6,1.8,68.0,269.6,2510.8,0.7573033707865169
