Day,Strategy,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,LocalGNTS-14,3976.8,13.2,9.2,0,0,0.8,0.0
1,LocalGNTS-14,3965.8,22.6,9.6,0.6,0,1.4,0.0
2,LocalGNTS-14,3953.8,31.0,11.0,1.8,0,2.4,0.0
3,LocalGNTS-14,3939.0,40.6,12.6,4.4,0,3.4,0.0
4,LocalGNTS-14,3920.4,51.0,16.2,7.2,0,5.2,0.0
5,LocalGNTS-14,3888.2,72.4,22.2,10.2,0,7.0,0.0
6,LocalGNTS-14,3846.4,98.0,31.4,15.4,0,8.8,0.0
7,LocalGNTS-14,3786.4,137.8,41.4,21.8,0,12.6,0.0
8,LocalGNTS-14,3710.8,187.0,55.6,30.6,0,16.0,0.0
9,LocalGNTS-14,3611.4,248.4,75.2,43.8,0,21.2,0.0
10,LocalGNTS-14,3475.0,332.2,100.6,62.0,0,30.2,0.0
11,LocalGNTS-14,3311.0,429.8,131.6,86.0,0,41.6,0.0
12,LocalGNTS-14,3098.2,553.0,174.8,119.2,0,54.8,0.0
13,LocalGNTS-14,2818.4,725.6,228.8,151.8,0,75.4,0.0
14,LocalGNTS-14,2498.8,901.4,300.0,200.0,0,99.8,0.0
15,LocalGNTS-14,2141.2,1083.0,383.8,258.8,0,133.2,0.0
16,LocalGNTS-14,1765.0,1245.8,476.6,334.4,0,178.2,0.0
17,LocalGNTS-14,1376.6,1383.6,592.0,410.8,0,237.0,0.0
18,LocalGNTS-14,1020.4,1466.0,717.0,494.2,0,302.4,0.0
19,LocalGNTS-14,720.8,1478.2,840.0,569.2,0,391.8,0.0
20,LocalGNTS-14,478.8,1415.8,926.0,662.8,27.0,489.6,0.00890618815147117
21,LocalGNTS-14,310.8,1300.2,980.0,736.2,77.6,595.2,0.025080801551389788
22,LocalGNTS-14,191.4,1160.2,1004.2,787.0,134.2,723.0,0.043492351568576615
23,LocalGNTS-14,114.8,1017.4,998.0,829.2,188.4,852.2,0.062116716122650836
24,LocalGNTS-14,70.6,877.8,974.8,846.6,242.6,987.6,0.08246651709837514
25,LocalGNTS-14,39.6,734.6,950.2,861.0,292.2,1122.4,0.1029598308668076
26,LocalGNTS-14,23.4,608.4,902.6,869.0,337.0,1259.6,0.12403386087596614
27,LocalGNTS-14,16.2,505.2,838.4,852.6,380.6,1407.0,0.14770257683949087
28,LocalGNTS-14,13.6,426.0,764.6,830.6,419.6,1545.6,0.17191084890199937
29,LocalGNTS-14,11.2,353.2,693.6,802.8,458.6,1680.6,0.1986829564162551
30,LocalGNTS-14,11.8,294.8,617.6,776.8,496.2,1802.8,0.22705225587993044
31,LocalGNTS-14,11.8,239.0,555.4,732.4,523.6,1937.8,0.2553648068669528
32,LocalGNTS-14,16.2,196.8,502.4,676.0,554.2,2054.4,0.2872395563387582
33,LocalGNTS-14,17.0,158.2,451.6,616.8,578.4,2178.0,0.32044321329639885
34,LocalGNTS-14,16.2,130.8,407.4,554.4,604.8,2286.4,0.3563096500530223
35,LocalGNTS-14,15.6,107.8,360.2,502.2,625.8,2388.4,0.39210526315789473
36,LocalGNTS-14,22.8,86.6,319.8,452.0,644.0,2474.8,0.42864749733759316
37,LocalGNTS-14,25.4,74.0,283.4,405.6,656.0,2555.6,0.46229739252995067
38,LocalGNTS-14,31.6,65.4,244.8,367.2,657.2,2633.8,0.49243218942005096
39,LocalGNTS-14,34.2,58.4,212.8,340.8,647.4,2706.4,0.5140543115769414
40,LocalGNTS-14,42.4,51.6,137.8,320.0,673.2,2775.0,0.5692541856925419
41,LocalGNTS-14,52.0,45.8,74.0,298.2,694.6,2835.4,0.6243034333992451
42,LocalGNTS-14,64.0,37.0,37.2,259.6,707.6,2894.6,0.6794699443057423
43,LocalGNTS-14,71.8,30.4,15.2,215.0,721.8,2945.8,0.7347312703583062
44,LocalGNTS-14,78.4,28.4,4.6,166.6,724.2,2997.8,0.7839359168651223
45,LocalGNTS-14,95.2,17.6,2.6,121.6,719.8,3043.2,0.835422469823584
46,LocalGNTS-14,110.2,12.6,0.8,88.4,702.4,3085.6,0.8734145734891817
47,LocalGNTS-14,126.0,10.4,0.6,68.0,676.2,3118.8,0.8953919491525424
48,LocalGNTS-14,140.8,8.2,2.0,58.0,638.4,3152.6,0.9034814605151429
49,LocalGNTS-14,153.0,9.4,0.4,53.0,591.8,3192.4,0.9040635502597006
50,LocalGNTS-14,167.8,9.0,1.0,50.8,551.2,3220.2,0.9006535947712418
51,LocalGNTS-14,183.8,7.4,1.4,46.4,515.4,3245.6,0.9032597266035751
52,LocalGNTS-14,197.8,7.8,1.4,42.6,475.4,3275.0,0.9017450682852808
53,LocalGNTS-14,212.8,9.6,1.0,38.8,447.8,3290.0,0.9006436041834273
54,LocalGNTS-14,227.6,10.6,1.2,36.4,420.0,3304.2,0.897052541648868
55,LocalGNTS-14,245.0,10.8,1.0,34.8,388.6,3319.8,0.892922794117647
56,LocalGNTS-14,258.8,10.2,1.4,33.6,365.4,3330.6,0.8899171943497322
57,LocalGNTS-14,273.0,9.0,2.4,30.8,340.4,3344.4,0.8897020386826974
58,LocalGNTS-14,290.4,9.8,1.4,29.0,321.0,3348.4,0.8887043189368771
59,LocalGNTS-14,306.2,10.8,1.2,27.4,299.6,3354.8,0.8837758112094396
60,LocalGNTS-14,323.8,10.6,1.2,25.2,279.6,3359.6,0.883133291219204
61,LocalGNTS-14,340.4,10.2,1.4,23.4,260.6,3364.0,0.881596752368065
62,LocalGNTS-14,359.2,9.4,1.8,22.4,244.2,3363.0,0.8790496760259179
63,LocalGNTS-14,373.6,10.8,0.6,20.6,230.6,3363.8,0.8781416603198781
64,LocalGNTS-14,390.6,10.8,0.6,19.2,211.6,3367.2,0.8736581337737407
65,LocalGNTS-14,403.6,9.6,1.4,18.4,195.0,3372.0,0.8689839572192514
66,LocalGNTS-14,420.8,8.6,1.8,17.8,182.0,3369.0,0.8658420551855376
67,LocalGNTS-14,437.8,7.0,0.8,17.0,170.2,3367.2,0.8728205128205128
68,LocalGNTS-14,453.0,7.2,0.8,15.6,158.4,3365.0,0.8703296703296703
69,LocalGNTS-14,468.0,7.4,1.0,14.4,147.2,3362.0,0.8658823529411764
70,LocalGNTS-14,480.6,8.8,0.2,13.4,135.8,3361.2,0.8584070796460177
71,LocalGNTS-14,501.2,9.2,0.8,12.6,125.4,3350.8,0.8472972972972973
72,LocalGNTS-14,517.4,8.0,1.2,12.6,117.6,3343.2,0.8436154949784793
73,LocalGNTS-14,536.0,6.4,1.2,12.6,110.0,3333.8,0.8448540706605223
74,LocalGNTS-14,554.2,6.4,1.0,11.6,104.8,3322.0,0.8465266558966075
75,LocalGNTS-14,573.8,6.4,1.0,10.8,97.0,3311.0,0.8420138888888888
76,LocalGNTS-14,590.0,6.6,1.2,10.4,92.6,3299.2,0.8357400722021661
77,LocalGNTS-14,605.4,6.6,0.6,9.0,85.8,3292.6,0.8411764705882353
78,LocalGNTS-14,623.4,7.8,0.4,8.4,80.4,3279.6,0.8288659793814434
79,LocalGNTS-14,639.4,8.6,0.2,8.4,74.2,3269.2,0.811816192560175
80,LocalGNTS-14,656.6,7.2,1.6,7.6,69.2,3257.8,0.8084112149532711
81,LocalGNTS-14,675.6,6.2,1.0,7.8,66.2,3243.2,0.8152709359605912
82,LocalGNTS-14,694.0,6.6,0.8,8.0,62.6,3228.0,0.8025641025641026
83,LocalGNTS-14,709.8,6.6,0.6,7.8,58.8,3216.4,0.7967479674796748
84,LocalGNTS-14,729.2,7.8,0.2,6.6,56.4,3199.8,0.7943661971830985
85,LocalGNTS-14,746.0,7.0,1.4,6.0,52.4,3187.2,0.7844311377245509
86,LocalGNTS-14,764.4,5.4,1.6,5.8,51.2,3171.6,0.8
87,LocalGNTS-14,782.8,5.2,1.0,5.4,50.4,3155.2,0.8129032258064516
88,LocalGNTS-14,797.6,4.4,0.8,4.4,46.8,3146.0,0.8297872340425532
89,LocalGNTS-14,811.6,4.8,0.4,4.0,44.4,3134.8,0.8283582089552239
90,LocalGNTS-14,825.8,4.4,0.8,4.0,42.2,3122.8,0.8210116731517509
91,LocalGNTS-14,844.6,3.6,0.2,4.2,39.6,3107.8,0.8319327731092437
92,LocalGNTS-14,864.4,2.8,0,4.8,37.2,3090.8,0.8303571428571428
93,LocalGNTS-14,881.2,2.4,0.8,4.4,35.6,3075.6,0.8240740740740741
94,LocalGNTS-14,896.8,3.2,0.4,4.0,33.4,3062.2,0.8146341463414634
95,LocalGNTS-14,916.0,3.4,0.2,3.6,32.0,3044.8,0.8163265306122448
96,LocalGNTS-14,932.0,3.8,0.2,3.4,30.4,3030.2,0.8042328042328043
97,LocalGNTS-14,947.0,4.0,0.4,3.2,29.8,3015.6,0.7967914438502675
98,LocalGNTS-14,963.8,4.2,0.2,2.6,28.6,3000.6,0.8033707865168539
99,LocalGNTS-14,980.0,3.8,1.2,2.8,27.2,2985.0,0.7771428571428571
100,LocalGNTS-14,995.6,3.2,0.8,3.2,27.0,2970.2,0.7894736842105262
101,LocalGNTS-14,1012.2,3.6,0.4,2.6,25.8,2955.4,0.7962962962962964
102,LocalGNTS-14,1027.0,3.8,0.2,2.2,24.2,2942.6,0.7960526315789473
103,LocalGNTS-14,1043.8,3.6,0.6,2.0,22.0,2928.0,0.7801418439716312
104,LocalGNTS-14,1058.6,3.0,0.8,1.8,21.4,2914.4,0.7925925925925925
105,LocalGNTS-14,1077.0,3.4,0,2.0,21.0,2896.6,0.7954545454545455
106,LocalGNTS-14,1091.6,3.6,0,1.8,19.4,2883.6,0.7822580645161291
107,LocalGNTS-14,1106.6,3.2,0.4,2.0,18.6,2869.2,0.768595041322314
108,LocalGNTS-14,1122.2,3.2,0.2,2.0,17.6,2854.8,0.7652173913043478
109,LocalGNTS-14,1137.4,2.8,0.4,1.8,16.6,2841.0,0.7685185185185185
110,LocalGNTS-14,1151.4,2.8,0.2,2.0,16.6,2827.0,0.7685185185185185
111,LocalGNTS-14,1166.8,2.8,0.4,2.2,15.6,2812.2,0.7428571428571429
112,LocalGNTS-14,1179.2,3.6,0,2.4,14.4,2800.4,0.7058823529411765
