Network_Name,Strategy,Avg_Total_Infections,total_tests_administered,total_positive_tests,total_wasted_tests,Avg_Peak_Infections,Avg_Time_to_Peak,integrated_infections,communities_infected_count,proportion_infected,avg_time_to_infection,communities_intervened_count,proportion_intervened,avg_time_to_intervention,Avg_Peak_Infections,Avg_Time_to_Peak,Avg_Total_Infections,Avg_Positive_Test_Rate,Avg_Tests_per_Positive,Gini_Coefficient_Allocations,Avg_Quarantine_Efficiency
Pyramidal_4k,Gamma-Poisson-14,,,,,,,,,,,,,,2027.6,26.2,0.0,0.10528,9.498480243161094,0.8989674769230769,0.11103834431728146
Pyramidal_4k,Proportional,,,,,,,,,,,,,,2017.8,27.4,0.0,0.18704,5.3464499572284,0.5263193076923077,0.4291046152243205
Pyramidal_4k,Uniform,,,,,,,,,,,,,,1996.2,26.6,0.0,0.18196,5.495713343591998,0.2112307692307691,0.41695235874214603
Pyramidal_4k,Random,,,,,,,,,,,,,,2008.2,27.4,0.0,0.18728,5.339598462195643,0.3310582153846154,0.4246115355305752
Heterogeneous_5k,LocalGNTS-14,,,,,,,,,,,,,,2526.0,23.6,0.0,0.3663522633095228,2.72961327157169,0.3379512032227608,0.5143416652486625
Heterogeneous_5k,Beta-Binomial-14,,,,,,,,,,,,,,2642.2,24.2,0.0,0.23864,4.190412336573919,0.5254210953846153,0.3971615994772971
Heterogeneous_5k,Gamma-Poisson-14,,,,,,,,,,,,,,2624.8,24.6,0.0,0.14352,6.967670011148272,0.8396515938461538,0.1108229182579733
Heterogeneous_5k,Proportional,,,,,,,,,,,,,,2611.0,24.6,0.0,0.22588,4.427129449265096,0.3549495384615383,0.4151568638744178
Heterogeneous_5k,Uniform,,,,,,,,,,,,,,2637.2,24.4,0.0,0.22532,4.438132433871827,0.1984615384615384,0.4070356265993776
Heterogeneous_5k,Random,,,,,,,,,,,,,,2638.4,23.4,0.0,0.22896,4.367575122292103,0.2891300676923077,0.4045048661657631
SBM_5k_Zero_Modularity,LocalGNTS-14,,,,,,,,,,,,,,2791.6,19.0,0.0,0.361332565400588,2.76753355704698,0.2564978722511233,0.4827285016886675
