Day,Run,Efficiency
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.002485707183693761
21,0,0.004435168275502218
22,0,0.007111597374179431
23,0,0.009820912767186597
24,0,0.011685116851168511
25,0,0.013788575180564675
26,0,0.017470300489168415
27,0,0.020423319717786857
28,0,0.023959151610369208
29,0,0.027351844177372565
30,0,0.03120879120879121
31,0,0.03691588785046729
32,0,0.040513833992094864
33,0,0.04450261780104712
34,0,0.048943270300333706
35,0,0.05542590431738623
36,0,0.06012269938650307
37,0,0.06649282920469361
38,0,0.07325501036627505
39,0,0.08139534883720931
40,0,0.09809885931558936
41,0,0.11356466876971609
42,0,0.13305785123966943
43,0,0.153713298791019
44,0,0.17073170731707318
45,0,0.19296577946768062
46,0,0.21385542168674698
47,0,0.23529411764705882
48,0,0.2650334075723831
49,0,0.2903981264637002
50,0,0.3075060532687651
51,0,0.33885350318471336
52,0,0.3671562082777036
53,0,0.3935119887165021
54,0,0.40828402366863903
55,0,0.4268104776579353
56,0,0.4525316455696203
57,0,0.474025974025974
58,0,0.4983164983164983
59,0,0.5238938053097345
60,0,0.5583482944344704
61,0,0.5981481481481481
62,0,0.6129032258064516
63,0,0.6462450592885376
64,0,0.6624472573839663
65,0,0.6933333333333334
66,0,0.6912442396313364
67,0,0.6899038461538461
68,0,0.6944444444444444
69,0,0.689119170984456
70,0,0.6978021978021978
71,0,0.6744186046511628
72,0,0.6646884272997032
73,0,0.6829268292682927
74,0,0.6870967741935484
75,0,0.6868686868686869
76,0,0.6632302405498282
77,0,0.6678571428571428
78,0,0.6729323308270677
79,0,0.6705882352941176
80,0,0.6535433070866141
81,0,0.6626984126984127
82,0,0.6831275720164609
83,0,0.6764705882352942
84,0,0.6394849785407726
85,0,0.6334841628959276
86,0,0.6216216216216216
87,0,0.6438356164383562
88,0,0.6465116279069767
89,0,0.649746192893401
90,0,0.6534653465346535
91,0,0.634020618556701
92,0,0.6075268817204301
93,0,0.6270270270270271
94,0,0.6480446927374302
95,0,0.6571428571428571
96,0,0.6626506024096386
97,0,0.6645569620253164
98,0,0.6423841059602649
99,0,0.6482758620689655
100,0,0.6122448979591837
101,0,0.6190476190476191
102,0,0.6187050359712231
103,0,0.5955882352941176
104,0,0.6102941176470589
105,0,0.6015037593984962
106,0,0.5652173913043478
107,0,0.5797101449275363
108,0,0.5571428571428572
109,0,0.5401459854014599
110,0,0.5579710144927537
111,0,0.5428571428571428
112,0,0.5238095238095238
113,0,0.5
114,0,0.5163398692810458
115,0,0.5483870967741935
116,0,0.535483870967742
117,0,0.5448717948717948
118,0,0.5222929936305732
119,0,0.5276073619631901
120,0,0.5515151515151515
121,0,0.5207100591715976
122,0,0.5491329479768786
123,0,0.5287356321839081
124,0,0.5254237288135594
125,0,0.5251396648044693
126,0,0.518918918918919
127,0,0.5054347826086957
128,0,0.526595744680851
129,0,0.5133689839572193
130,0,0.4842105263157895
131,0,0.46596858638743455
132,0,0.48717948717948717
133,0,0.47029702970297027
134,0,0.4878048780487805
135,0,0.5317073170731708
136,0,0.5283018867924528
137,0,0.504424778761062
138,0,0.5109170305676856
139,0,0.5714285714285714
140,0,0.5630630630630631
141,0,0.5394736842105263
142,0,0.5431034482758621
143,0,0.5579399141630901
144,0,0.5431034482758621
145,0,0.512396694214876
146,0,0.5135135135135135
147,0,0.5152671755725191
148,0,0.5153846153846153
149,0,0.5168539325842697
0,1,0.0
1,1,0.0
2,1,0.0
3,1,0.0
4,1,0.0
