Network_Name,Modularity,Clustering,Size
Fragmented_1k,0.08396264233436065,0.005948755046123467,1000
Core-Periphery_2k,0.09084705618789464,0.006897616312746546,2000
Bimodal_3k,0.16969971845634227,0.00789852095620027,3000
Pyramidal_4k,0.10991412586542244,0.005976150321506552,4000
Heterogeneous_5k,0.13358979826513181,0.006308886659454903,5000
SBM_5k_Zero_Modularity,-0.00041718569819984216,0.009958171754790345,5000
SBM_5k_Low_Modularity,0.05046684047244491,0.008090276650110214,5000
SBM_5k_Medium_Modularity,0.13358979826513181,0.006308886659454903,5000
SBM_5k_High_Modularity,0.48296748923117816,0.005301668510429331,5000
SBM_5k_Max_Modularity,0.7235863522117898,0.009518353134209881,5000
