Day,Run,Efficiency
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.024096385542168676
21,0,0.04184100418410042
22,0,0.04954128440366973
23,0,0.05457463884430177
24,0,0.059065934065934064
25,0,0.05889423076923077
26,0,0.058759521218716
27,0,0.05976095617529881
28,0,0.05685920577617329
29,0,0.054030874785591765
30,0,0.052132701421800945
31,0,0.047372316802368614
32,0,0.048398576512455514
33,0,0.0503448275862069
34,0,0.05094709340300457
35,0,0.05131494547787043
36,0,0.055168040583386174
37,0,0.05555555555555555
38,0,0.05343047965998786
39,0,0.05169340463458111
40,0,0.05838150289017341
41,0,0.06946039035591274
42,0,0.0760931289040318
43,0,0.08333333333333333
44,0,0.08865638766519823
45,0,0.09011943539630836
46,0,0.09359870898332437
47,0,0.09739222990952634
48,0,0.10385438972162742
49,0,0.10608508346795907
50,0,0.11305297651556527
51,0,0.11997828447339848
52,0,0.126861555432984
53,0,0.13181312569521692
54,0,0.13562183455261678
55,0,0.14482758620689656
56,0,0.14909726266744322
57,0,0.1536628945801072
58,0,0.16189896530736458
59,0,0.16676961087090797
60,0,0.18437900128040974
61,0,0.2070572569906791
62,0,0.22679692951849267
63,0,0.2429090909090909
64,0,0.2608695652173913
65,0,0.27741935483870966
66,0,0.30275229357798167
67,0,0.3184549356223176
68,0,0.3449197860962567
69,0,0.36981132075471695
70,0,0.39603960396039606
71,0,0.42110655737704916
72,0,0.44420600858369097
73,0,0.45743473325766176
74,0,0.45961995249406173
75,0,0.4818976279650437
76,0,0.5006451612903225
77,0,0.5108695652173914
78,0,0.5161290322580645
79,0,0.5395894428152492
80,0,0.5690184049079755
81,0,0.591869918699187
82,0,0.5942275042444821
83,0,0.608540925266904
84,0,0.6036363636363636
85,0,0.6057692307692307
86,0,0.6155419222903885
87,0,0.6008583690987125
88,0,0.5973451327433629
89,0,0.6209302325581395
90,0,0.6318407960199005
91,0,0.6387434554973822
92,0,0.6432432432432432
93,0,0.6638418079096046
94,0,0.6616766467065869
95,0,0.6655844155844156
96,0,0.65625
97,0,0.6691449814126395
98,0,0.6793893129770993
99,0,0.6612244897959184
100,0,0.6666666666666666
101,0,0.6529680365296804
102,0,0.6195121951219512
103,0,0.6091370558375635
104,0,0.6243386243386243
105,0,0.6333333333333333
106,0,0.622093023255814
107,0,0.6296296296296297
108,0,0.6623376623376623
109,0,0.6597222222222222
110,0,0.656934306569343
111,0,0.6335877862595419
112,0,0.6302521008403361
113,0,0.6090909090909091
114,0,0.6019417475728155
115,0,0.59375
116,0,0.6
117,0,0.6470588235294118
118,0,0.6829268292682927
119,0,0.6538461538461539
120,0,0.6842105263157895
121,0,0.6575342465753424
122,0,0.6666666666666666
123,0,0.6935483870967742
124,0,0.6779661016949152
125,0,0.75
126,0,0.7884615384615384
127,0,0.76
128,0,0.7391304347826086
129,0,0.7142857142857143
130,0,0.6842105263157895
131,0,0.7297297297297297
132,0,0.7894736842105263
133,0,0.7894736842105263
134,0,0.7297297297297297
135,0,0.7027027027027027
136,0,0.6944444444444444
137,0,0.6857142857142857
138,0,0.696969696969697
139,0,0.7741935483870968
140,0,0.7419354838709677
141,0,0.6896551724137931
142,0,0.6785714285714286
143,0,0.7
144,0,0.6785714285714286
145,0,0.6428571428571429
146,0,0.7083333333333334
147,0,0.7272727272727273
148,0,0.7142857142857143
149,0,0.6666666666666666
0,1,0.0
1,1,0.0
2,1,0.0
3,1,0.0
4,1,0.0
5,1,0.0
6,1,0.0
